sampleid,average_mintemp,average_precip,average_veg,lnndvi,neonics,migratory_proxy,operation_type,operation_defined,stationary,honey,pollination,beeolddatamigratory,queen,yard,hobbiest,nuc,research,bumblebee,acetamiprid,clothianidin,dinotefuran,imidacloprid,thiacloprid,thiamethoxam,state,year,region,surveydate,y,x,month,mites,lnmites,nosema,lnnosema,abpv,abpv_d,bqcv,bqcv_d,dwv,dwv_d,cbpv,cbpv_d,iapv,iapv_d,kbv,kbv_d,sbpv,sbpv_d,trop,trop_d,n_apis,n_apis_d,n_ceranae,n_ceranae_d,a_cerana,n_ceranae_per,dwv_percentage,bqcv_percentage,nosema_d,mites_d,collection,submitdate,totalarea,cornall,corn,cotton,sorghum,soybeans,peanuts,winter_wheat,dbl_crop_winwht_soybeans,rye,oats,millet,other_hay_non_alfalfa,other_crops,watermelons,sod_grass_seed,fallow_idle_cropland,shrubland,barren,apples,pecans,aquaculture,open_water,developed_open_space,developed_low_intensity,developed_med_intensity,developed_high_intensity,deciduous_forest,evergreen_forest,mixed_forest,grassland_pasture,woody_wetlands,herbaceous_wetlands,dbl_crop_winwht_corn,pumpkins,dbl_crop_winwht_sorghum,dbl_crop_winwht_cotton,dbl_crop_soybeans_oats,barley,spring_wheat,safflower,alfalfa,misc_vegs___fruits,onions,tomatoes,cherries,grapes,almonds,walnuts,pistachios,triticale,olives,oranges,peppers,pomegranates,plums,lettuce,sunflower,sweet_corn,speltz,sugarbeets,dry_beans,hops,peaches,other_tree_crops,asparagus,cabbage,camelina,potatoes,clover_wildflowers,citrus,cantaloupes,strawberries,squash,dbl_crop_corn_soybeans,blueberries,pop_or_orn_corn,herbs,dbl_crop_oats_corn,peas,christmas_trees,carrots,flaxseed,lentils,tobacco,switchgrass,rice,greens,nectarines,radishes,dbl_crop_barley_sorghum,dbl_crop_barley_corn,dbl_crop_barley_soybeans,buckwheat,vetch,sweet_potatoes,mustard,canola,cucumbers,dbl_crop_soybeans_cotton,mint,durum_wheat,other_small_grains,caneberries,pears,perennial_ice_snow_,garlic,honeydew_melons,broccoli,apricots,dbl_crop_lettuce_durum_wht,dbl_crop_lettuce_cantaloupe,dbl_crop_lettuce_cotton,cauliflower,celery,eggplants,sugarcane,gourds,turnips,cranberries,rape_seed,a__,forest,perennial_ice_snow,grass_pasture,a_,nonag_undefined,prunes,clouds_no_data,developed,water,chick_peas,dbl_crop_durum_wht_sorghum,dbl_crop_durum_wh,agg_water,agg_developed,agg_barren,agg_forestedupland,agg_shrubland,agg_grassland,agg_wetlands,percorn,percornpt,plantcorn,corn_bts,corn_bte,percornbt,percotton,percottonpt,plantcotton,cotton_bts,cotton_bte,persorghum,persorghumpt,plantsorghum,sorghum_bts,sorghum_bte,persoybean,persoybeanpt,plantsoy,soybean_bts,soybean_bte,percanola,percanolapt,plantcanola,perspringwht,perspringwhtpt,plantspringw,perwinwht,perwinwhtpt,plantwinwht,perbarley,perbarleypt,plantbarley,perrice,perricept,plantrice,perdeveloped,perbarren,perforests,pershrubland,pergrassland,perwetland,canola_bts,canola_bte,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,lnprecipm,lnprecipa,region1,region2,region3,region4,region5,region6,region7,percorn_bts,percorn_bte,percotton_bts,percotton_bte,persorghum_bts,persorghum_bte,persoybean_bts,persoybean_bte,agg_natural,pernatural,lnmites1,_year
AL 04-2010,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,AL,2010,2,8/10/2010,31.39516,-85.945648,8,2.0423601,0.71410602,0,,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,N,0,,,,,0,1,8/9/1950,8/10/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,1.1126336,2
AL 04-2011,16.990314,111.59895,229.22922,5.4347224,0,0,Hobbiest,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AL,2011,2,9/21/2011,32.51694,-86.625267,9,3.7411528,1.3193938,0.40000001,-0.91629076,-,0,-,0,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,90th,Under30,1,1,9/20/1951,9/21/2011,32535000,30600,30600,28800,0,9000,0,0,900,0,0,0,246600,47700,29700,0,3600,5604300,1800,0,1800,0,44100,1626300,62100,5400,0,9940500,6684300,3958200,3766500,440100,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44100,1693800,1800,20583000,5604300,3766500,442800,0.094052561,0,0,0,1,0.094052561,0.088520057,0,0,0,1,0.027662518,0,0,0,1,0.027662518,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.2060857,0.005532503,63.264175,17.225449,11.576763,1.3609959,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.8326435,4.7149115,0,1,0,0,0,0,0,0,0.094052561,0,0.088520057,0,0.027662518,0,0.027662518,30396600,93.427383,1.5562803,3
AL 04-2012,14,135.20659,240.19841,5.4814653,0,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,2012,2,10/2/2012,33.91605,-87.736153,10,0,,0,,-,0,+,1,+,1,-,0,-,0,-,0,-,0,-,0,-,0,+,1,,Below 30th,Below 30th,Below 30th,0,0,10/1/1952,10/2/2012,32525100,67500,67500,900,0,7200,0,0,0,0,0,0,957600,0,0,0,43200,2886300,9900,0,0,0,156600,2185200,342000,70200,1800,17218800,4257000,2067300,2031300,217800,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,156600,2599200,9900,23543100,2886300,2031300,222300,0.20753203,0,0,0,0,0,0.002767094,0,0,0,1,0.02213675,0,0,0,1,0.02213675,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9913669,0.03043803,72.384407,8.8740692,6.2453303,0.68347216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6390574,4.9068041,0,1,0,0,0,0,0,0,0,0,0.002767094,0,0.02213675,0,0.02213675,28683000,88.187279,0,4
AL 05-2010,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,AL,2010,2,9/14/2010,31.41665,-87.351196,9,4.2452831,1.4458085,0,,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,N,0,,,,,0,1,9/13/1950,9/14/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,1.6573292,2
AL 05-2011,15,143.06905,237.21443,5.4689646,,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,2011,2,9/28/2011,32.85416,-85.579437,9,4.8780489,1.5847453,0,,-,0,+,1,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,90th,50th,0,1,9/27/1951,9/28/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.7080503,4.9633274,0,1,0,0,0,0,0,,,,,,,,,,,1.7712249,3
AL 05-2012,14,64.820183,245.87161,5.5048094,,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,2012,2,9/26/2012,33.51216,-85.566833,9,7.7095771,2.0424633,0,,-,0,+,1,+,1,+,1,-,0,-,0,-,0,-,0,-,0,+,1,,40th,50th,40th,0,1,9/25/1952,9/26/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.6390574,4.171617,0,1,0,0,0,0,0,,,,,,,,,,,2.1644232,4
AL 06-2010,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,AL,2010,2,8/10/2010,31.87013,-85.203407,8,1.5612161,0.44546506,0,,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,N,0,,,,,0,1,8/9/1950,8/10/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,0.9404822,2
AL 06-2011,17,124,239.54178,5.4787278,,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,2011,2,10/3/2011,31.83805,-86.691666,10,7.2984748,1.9876654,0,,-,0,+,1,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,90th,70th,0,1,10/2/1951,10/3/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.8332133,4.8202815,0,1,0,0,0,0,0,,,,,,,,,,,2.1160717,3
AL 06-2012,19,136.4343,229.73299,5.4369178,0,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,2012,2,10/10/2012,31.15535,-85.346649,10,2.1059113,0.74474829,0.050000001,-2.9957323,-,0,+,1,+,1,-,0,-,0,+,1,-,0,-,0,-,0,+,1,,40th,Below 30th,Below 30th,1,1,10/9/1952,10/10/2012,32533200,550800,550800,2610900,129600,45900,2144700,15300,3600,1800,3600,24300,4821300,0,0,5400,1853100,5301000,3600,0,13500,0,284400,1669500,349200,37800,12600,1036800,5786100,159300,4350600,1289700,23400,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,284400,2069100,3600,6982200,5301000,4350600,1313100,1.6930398,0,0,0,0,0,8.0253401,0,0,0,1,0.14108664,0,0,0,1,0.14108664,0,0,0,1,0,0,0,0,0,0,0.047028881,0.047028881,1,0,0,0,0,0,0,6.3599644,0.011065619,21.461769,16.294125,13.372801,4.0361848,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.9444389,4.915843,0,1,0,0,0,0,0,0,0,0,8.0253401,0,0.14108664,0,0.14108664,17946900,55.164879,1.1333071,4
AL 06-2013,,,,,0,1,,,,,,,,,,,,,0,0,0,0,0,0,AL,2013,2,5/5/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/2014,32530500,544500,525600,1010700,148500,1585800,3113100,162900,1759500,0,49500,105300,853200,33300,0,2639700,1261800,807300,54900,0,129600,0,45900,1702800,279000,39600,10800,900,5852700,14400,6416100,2599200,18000,2700,0,138600,1094400,52200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18900,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,45900,2032200,54900,5868000,807300,6416100,2617200,1.6738138,1.6738138,1,1,0,0,3.1069305,3.1069305,1,0,0,4.8748097,4.8748097,1,1,0,4.8748097,4.8748097,1,0,0,0,1,1,0,0,1,0.50076085,0,0,0,0,1,0,0,1,6.2470603,0.1687647,18.038456,2.4816711,19.723337,8.045373,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1.6738138,0,0,0,4.8748097,0,0,0,15708600,48.288837,,5
AL 07-2010,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,AL,2010,2,9/14/2010,31.48335,-86.564011,9,3.2418952,1.1761581,0,,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,Y,1,,,,,0,1,9/13/1950,9/14/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,1.4450102,2
