"sampleid","x","y","month","year"
"SD 03-2013",-99.96026,45.85789,9,2013
"OR 10-2013",-122.687977,42.211578,9,2013
"NJ 08-2013",-74.47903,41.18613,9,2013
"ID 10-2011",-89.48111,38.13027,10,2011
"WI 08-2012",-89.589798,42.89272,9,2012
"VA 16-2013",-75.5247,37.917,10,2013
"VA 21-2012",-78.821198,37.0467,9,2012
"AR 03-2013",-93.16449,35.33157,8,2013
"AL 20-2012",-88.132652,30.84325,10,2012
"MN 17-2013",-95.11298,46.29673,6,2014
"PA 20-2012",-77.013733,40.99683,9,2012
"LA 03-2012",-91.216721,30.30002,7,2012
"CA 46-2012",-117.17894,33.23829,11,2012
"MI 11-2013",-84.26814,42.40085,10,2013
"WI 09-2013",-88.32409,43.58003,9,2013
"NY 17-2013",-75.8801907,41.5791617,7,2013
"CO 19-2011",-104.64187,38.57055,10,2011
"WI 07-2011",-80.175697,39.32856,9,2011
"OH 17-2012",-84.482903,39.2078,7,2013
"NJ 13-2012",-74.602478,39.50298,8,2012
"AL 04-2012",-87.736153,33.91605,10,2012
"MA 7-2012",-70.91008,41.98723,10,2012
"UT 03-2012",-111.82135,41.84138,9,2012
"AL 13-2011",-85.600258,34.6001,9,2011
"TN 16-2012",-88.128792,35.92472,6,2013
"FL 02-2011",-82.30024,28.53337,4,2012
"WV 24-2013",-80.76419,38.64555,7,2013
"PA 21-2012",-75.417923,40.28095,6,2013
"AR 24-2012",-92.501579,34.91122,7,2012
"VA 04-2013",-75.6059,37.8029,10,2013
"PA 16-2013",-78.50201,40.18493,9,2013
"MI 18-2012",-83.238708,42.32169,10,2012
"MI 01-2013",-85.88716,44.86481,10,2013
"IA 23-2012",-92.790993,41.59919,6,2013
"FL 04-2012",-85.631706,30.1969,11,2012
"TN 16-2011",-85.605881,36.14506,9,2011
"NY 10-2011",-100.28619,46.7934,7,2011
"IN 04-2011",-91.365067,42.7619,8,2011
"MA 18-2012",-71.270302,42.31519,10,2012
"IN 23-2013",-86.1376314,38.7747953,9,2013
"MN 16-2012",-94.389503,46.60478,6,2013
"MD 01-2013",-77.38361,39.16912,9,2013
"AL 07-2012",-86.190002,32.345,9,2012
"WI 12-2012",-89.592232,43.11742,9,2012
"OH 08-2012",-83.240799,39.7075,7,2013
"SC 03-2013",-79.23453,34.15848,3,2013
"GA 02-2012",-82.117737,31.55252,9,2012
"TX 01-2012",-101.6747,33.54024,9,2012
"WV 01-2013",-79.62269,38.765457,7,2013
"MN 23-2013",-94.859956,45.83677,6,2014
"VA 19-2012",-76.176903,36.8916,8,2012
"TN 11-2012",-86.638573,36.12061,4,2013
"VA 10-2012",-77.141701,38.2493,9,2012
"WI 07-2012",-88.069511,43.25414,9,2012
"MD 09-2012",-75.458252,38.34775,10,2012
"NJ 05-2013",-74.72746,39.82594,8,2013
"CA 22-2011",-120.92345,37.81805,1,2012
"UT 02-2012",-111.81154,41.77114,9,2012
"AL 09-2013",-88.11435,30.78766,5,2014
"TX 06-2012",-97.317261,31.1438,10,2012
"SC 06-2013",-80.09251,33.55649,4,2014
"IL 15-2013",-89.646172,39.58606,8,2013
"SD 09-2011",-99.02356,44.89316,9,2011
"NY 03-2013",-75.894486,41.3768645,6,2013
"IL 10-2012",-89.795525,35.15527,9,2012
"AL 23-2013",-86.19867,32.29991,9,2013
"NY 15-2013",-77.99234,43.32389,8,2013
"WI 02-2011",-77.949829,39.30229,9,2011
"TX 10-2012",-95.899681,33.70177,10,2012
"TN 19-2011",-85.231018,36.09135,8,2011
"SD 15-2012",-97.040031,44.9446,10,2012
"WV 05-2012",-82.027321,38.47962,9,2012
"MA 15-2012",-71.357437,42.19735,10,2012
"IL 01-2013",-90.29018,42.40525,7,2013
"CA 09-2013",-116.83327198,33.55092703,11,2013
"OK 15-2012",-97.409195,35.88131,9,2012
"SD 12-2012",-97.54583,43.50348,10,2012
"WV 17-2013",-80.19262,80.19262,7,2013
"FL 09-2013",-83.119035,29.625008,9,2013
"IN 15-2011",-92.798218,41.77545,10,2011
"SC 12-2013",-82.78956,34.79406,5,2014
"TN 08-2012",-89.625084,35.34448,5,2013
"AL 19-2012",-85.483612,32.76859,10,2012
"LA 01-2012",-92.303307,30.13613,6,2012
"HI 13-2012",-155.10986,19.54499,2,2013
"IN 20-2012",-86.17746,38.81403,5,2013
"TX 03-2011",-96.383438,32.96678,9,2011
"CA 10-2012",-122.23859,40.55967,2,2013
"TX 09-2012",-96.305687,33.25113,10,2012
"AL 25-2011",-86.152222,32.46722,9,2011
"WV 07-2012",-81.201088,37.33688,9,2012
"IN 21-2012",-86.173798,38.81412,5,2013
"IN 11-2012",-86.624321,39.38313,9,2012
"PR 21-2013",-66.96916,18.184535,5,2014
"UT 04-2012",-111.97,41.9665,9,2012
"IN 14-2011",-94.126663,41.83121,10,2011
"TX 17-2013",-98.520402,33.969369,9,2013
"OK 08-2012",-94.769386,34.05284,4,2013
"OR 07-2013",-122.626887,45.55849,9,2013
"WI 14-2013",-88.10958,44.0788,9,2013
"WV 16-2013",-81.07189,38.98699,7,2013
"AL 04-2011",-86.625267,32.51694,9,2011
"UT 16-2012",-112.36851,40.59358,5,2013
"NY 08-2013",-78.8111695,42.3599312,7,2013
"CA 25-2013",-122.0655,39.809325,2,2014
"NY 10-2013",-78.933562,42.360398,6,2013
"NY 12-2011",-101.54951,46.71333,7,2011
"CA 10-2013",-116.37797799,33.484592,11,2013
"WI 05-2012",-87.753952,43.63789,9,2012
"TX 08-2012",-96.337318,33.12832,10,2012
"SC 08-2012",-80.035179,33.91884,4,2013
"AR 08-2013",-92.53183,34.91266,8,2013
"PA 01-2012",-75.708076,40.70171,7,2012
"AL 06-2013",-87.56001,30.48254,5,2014
"IA 14-2012",-91.611839,42.95805,6,2013
"NY 15-2011",-97.347397,47.84056,8,2011
"MN 10-2013",-95.19548,46.38308,6,2014
"TX 08-2011",-96.03125,30.29323,10,2011
"VA 17-2013",-77.3693,37.7527,9,2013
"FL 13-2011",-82.319656,28.40552,4,2012
"CA 08-2013",-117.1624,33.20887,11,2013
"SC 11-2013",-82.58294,34.30614,5,2014
"MN 18-2012",-96.273521,47.50076,6,2013
"PA 03-2012",-76.800461,41.65395,8,2012
"UT 17-2013",-110.68938,39.57208,9,2013
"PR 06-2013",-66.89327,18.181932,5,2014
"GA 08-2013",-82.2128,31.65123,8,2013
"FL 03-2011",-82.250198,28.36679,4,2012
"WI 07-2013",-90.38734,43.59198,9,2013
"PA 19-2012",-77.334976,41.16286,9,2012
"CA 38-2012",-116.30785,33.66949,11,2012
"FL 24-2012",-87.020287,30.62677,10,2012
"MI 10-2013",-83.45863,42.49847,10,2013
"ND 03-2013",-99.998997,46.50153,7,2013
"WI 03-2011",-79.715622,39.0424,9,2011
"WV 10-2012",-82.440468,38.21215,10,2012
"AR 07-2012",-90.349197,35.94946,7,2012
"OK 17-2012",-99.002167,236.6378,11,2012
"IA 12-2012",-92.318703,41.96659,6,2013
"MI 04-2012",-85.705162,43.74193,9,2012
"WI 09-2011",-80.380821,39.35989,9,2011
"SD 07-2012",-98.044212,43.10751,9,2012
"AL 02-2011",-85.590271,31.25888,9,2011
"CA 42-2012",-122.24222,40.56475,3,2013
"WV 12-2012",-80.851852,38.19988,9,2012
"FL 08-2013",-84.052689,30.36433,9,2013
"AR 09-2013",-93.17498,34.50378,7,2013
"ND 06-2013",-101.00555,46.70445,7,2013
"MD 02-2013",-77.02149,38.99459,9,2013
"IN 02-2013",-85.966008,41.45822,7,2013
"PR 01-2013",-65.94301,18.331967,5,2014
"HI 15-2012",-157.07858,21.1252,2,2013
"AR 05-2013",-93.23299,34.42409,8,2013
"VA 09-2012",-79.582497,37.6587,9,2012
"TN 09-2011",-89.623466,35.34575,10,2011
"MI 03-2012",-84.121788,43.4058,10,2012
"UT 24-2012",-109.56663,37.28725,6,2013
"VA 20-2013",-76.1769,36.8916,10,2013
"CA 07-2013",-117.01756,33.31877,11,2013
"CA 07-2011",-117.06267,33.51001,11,2011
"NJ 11-2013",-74.7223,40.55841,9,2013
"OK 11-2012",-95.672173,35.93092,6,2013
"NC 03-2012",-81.280434,36.18457,8,2013
"SD 04-2011",-97.169991,45.4099,9,2011
"WV 20-2012",-78.580383,39.06818,9,2012
"WV 23-2012",-80.874039,39.11589,10,2012
"IL 16-2013",-89.824289,39.92396,8,2013
"CA 30-2012",-122.00952,38.50881,3,2013
"UT 03-2013",-112.00167,41.74411,9,2013
"NJ 14-2013",-74.91473,39.91692,8,2013
"IN 03-2011",-93.214912,42.08352,8,2011
"FL 12-2012",-85.660767,30.47209,11,2012
"TN 13-2013",-86.856958,35.980719,8,2013
"AR 01-2013",-92.08904,36.31834,8,2013
"MN 1-2012",-94.478798,44.93796,5,2013
"MI 02-2013",-85.01627,42.77476,10,2013
"MD 17-2013",-76.40218,39.67025,5,2014
"PA 11-2013",-75.781068,40.588645,9,2013
"WV 15-2013",-82.20166,38.02433,7,2013
"CA 35-2012",-117.0277,33.47396,11,2012
"UT 18-2013",-112.65271,39.25731,9,2013
"IL 18-2013",-89.790346,38.671195,8,2013
"IN 14-2013",-87.443893,39.30617,8,2013
"TX 02-2012",-98.570763,34.10498,9,2012
"ID 05-2011",-87.954453,42.45719,10,2011
"MA 16-2012",-71.139839,41.80848,10,2012
"AL 18-2011",-88.233452,33.35,11,2011
"IN 08-2011",-92.128418,43.45822,9,2011
"CO 04-2011",-107.90951,38.45101,10,2011
"NY 16-2011",-98.8675,47.7369,8,2011
"IN 19-2011",-93.974838,42.15957,10,2011
"IN 20-2013",-86.547928,39.475296,9,2013
"TX 02-2013",-96.33642,30.49419,10,2013
"NY 21-2012",-76.627136,43.18376,7,2012
"PA 11-2012",-77.57869,40.59259,9,2012
"OH 13-2012",-84.812202,39.53205,7,2013
"GA 10-2013",-82.4121,32.03696,8,2013
"UT 01-2012",-109.54704,38.5392,8,2012
"MI 16-2013",-83.08374,43.64672,10,2013
"PR 12-2013",-66.67229,18.21932,5,2014
"CA 28-2012",-122.13748,39.79748,3,2013
"CO 15-2012",-105.90155,37.37131,7,2013
"OR 04-2013",-119.560071,45.822684,9,2013
"CO 21-2012",-105.82048,37.48475,7,2013
"SD 09-2012",-99.519279,43.38944,9,2012
"HI 08-2012",-155.37192,19.68228,1,2013
"CO 22-2012",-105.07983,40.60599,7,2013
"VA 15-2013",-77.46023,36.87695,5,2014
"AR 15-2013",-94.38273,34.03226,8,2013
"TN 06-2012",-85.112228,36.61432,5,2013
"LA 18-2012",-90.899315,30.38126,5,2013
"TX 04-2013",-95.29731,33.48488,10,2013
"NJ 03-2013",-74.08014,40.31357,9,2013
"CA 13-2012",-121.92225,39.77523,3,2013
"CA 05-2013",-117.06758,33.163558,11,2013
"LA 11-2012",-92.303238,30.13609,11,2012
"OR 03-2013",-123.132623,42.409374,9,2013
"CO 08-2011",-103.08134,39.31251,9,2011
"VA 19-2013",-78.53318,38.15207,5,2014
"NY 04-2012",-78.495987,43.16812,8,2012
"TX 03-2013",-97.0068393,28.7712909,9,2013
"TX 06-2013",-97.26833,30.9599,10,2013
"WV 18-2013",-80.504361,37.964213,7,2013
"TN 04-2012",-89.936394,35.21133,4,2013
"GA 07-2013",-82.50017,31.68489,9,2013
"VA 15-2012",-78.999603,38.0571,9,2012
"CO 02-2012",-105.77973,37.4696,7,2013
"GA 14-2013",-82.6414,31.8055,9,2013
"UT 15-2013",-111.90673,40.53611,9,2013
"ND 09-2013",-98.050238,48.016718,8,2013
"MN 6-2012",-96.194939,47.49263,6,2013
"MD 10-2013",-76.63448,38.36925,6,2014
"MN 09-2013",-92.410197,44.025708,10,2013
"MD 03-2012",-76.553467,39.41573,9,2012
"SC 14-2013",-81.72341,34.4292,5,2014
"AL 08-2013",-85.21298,31.13166,3,2014
"HI 11-2012",-156.09224,20.6476,1,2013
"WV 08-2012",-82.233994,37.82563,9,2012
"TN 11-2011",-89.608704,35.40211,10,2011
"NY 08-2012",-75.245857,42.53421,6,2012
"IL 11-2013",-88.1581,40.952,8,2013
"AR 04-2013",-91.52544,35.0394,7,2013
"AL 21-2013",-86.81825,34.67637,9,2013
"VA 24-2013",-78.27126,37.47759,5,2014
"MA 24-2012",-71.139839,41.80848,10,2012
"OK 01-2012",-97.724869,34.76671,9,2012
"IA 17-2012",-93.511017,41.43835,6,2013
"MI 24-2012",-86.248413,42.42883,10,2012
"IN 12-2012",-85.762718,39.74056,9,2012
"PA 12-2013",-75.236655,40.342586,9,2013
"IN 13-2013",-85.443757,38.630109,8,2013
"TN 17-2012",-88.089607,35.79445,4,2013
"CA 45-2012",-117.1624,33.20887,11,2012
"WI 01-2011",-77.852371,39.57733,9,2011
"MI 13-2012",-85.016273,42.77476,10,2012
"CO 14-2012",-105.07607,40.6139,7,2013
"WI 17-2013",-88.7878678,43.7844397,8,2013
"SD 03-2011",-96.780922,42.94266,8,2011
"OR 02-2013",-122.453641,45.164205,9,2013
"WI 02-2013",-88.16153,42.96031,9,2013
"IL 20-2012",-88.955833,39.87722,5,2013
"CA 04-2013",-117.17622316,33.04036678,11,2013
"OH 07-2013",-83.572983,39.373237,9,2014
"PA 07-2013",-75.8740282,40.6044879817,9,2013
"NJ 20-2012",-74.489357,40.06786,9,2012
"FL 05-2011",-82.233559,27.95017,4,2012
"AR 11-2013",-94.3348,35.98919,8,2013
"NE 15-2012",-96.35994,41.15493,5,2013
"AR 19-2012",-92.12619,34.66275,9,2012
"FL 23-2011",-81.466713,27.5501,3,2012
"CA 27-2013",-120.88357,39.016879,3,2014
"ID 21-2011",-91.098335,40.15527,9,2011
"IN 22-2013",-86.1376314,38.7747953,9,2013
"NJ 09-2012",-74.816727,39.65981,8,2012
"LA 04-2012",-91.91671,31.00015,8,2012
"NY 18-2012",-76.829491,43.24628,7,2012
"TN 05-2011",-84.421249,35.01615,9,2011
"IN 09-2012",-87.453979,38.87936,8,2012
"VA 02-2013",-77.75319,38.27419,5,2014
"AR 13-2012",-90.326103,35.14944,10,2012
"NC 13-2013",-77.899056,35.499793,9,2013
"MI 11-2012",-83.875183,43.03625,10,2012
"ID 23-2011",-89.164444,41.31861,9,2011
"IA 20-2012",-91.833443,41.82618,6,2013
"GA 04-2012",-82.147293,32.9407,9,2012
"IL 23-2012",-88.557404,1.88081,5,2013
"LA 06-2012",-92.000252,30.9335,9,2012
"TX 01-2011",-96.240288,30.58177,7,2011
"MI 07-2012",-86.402428,42.09182,10,2012
"WI 10-2011",-79.855904,39.19693,9,2011
"GA 24-2012",-82.270142,31.4472,8,2012
"WI 12-2013",-88.41086,42.85769,8,2013
"SD 13-2011",-97.835297,44.93888,10,2011
"ND 19-2012",-99.600014,46.55024,7,2012
"MA 17-2012",-71.642448,42.16906,10,2012
"SD 02-2013",-99.06302,44.89317,9,2013
"MN 23-2012",-94.668381,45.30962,6,2013
"SD 06-2011",-98.468323,44.62224,9,2011
"NY 12-2012",-76.638962,43.2702,7,2012
"IL 02-2013",-88.84646,42.34385,7,2013
"PR 10-2013",-66.399,17.962,5,2014
"CA 48-2012",-117.00365,33.505,11,2012
"OR 17-2013",-122.73359,45.3777508,8,2013
"WI 15-2013",-89.10715,42.70049,9,2013
"GA 19-2012",-82.240471,31.45709,8,2012
"WV 04-2013",-77.85297,39.20385,7,2013
"NY 23-2013",-78.437086,43.000567,8,2013
"GA 05-2013",-83.86186,32.1892,9,2013
"WI 01-2012",-88.43541,42.76394,9,2012
"NJ 18-2012",-75.096542,39.73638,8,2012
"MD 11-2012",-76.33873,39.64489,10,2012
"CA 29-2013",-120.869848,37.07799,3,2014
"GA 05-2012",-83.450058,31.88294,9,2012
"IN 09-2011",-94.707603,40.63288,9,2011
"MA 6-2012",-71.713112,42.16093,10,2012
"CA 39-2012",-117.04174,33.3182,11,2012
"ND 04-2013",-97.800244,47.500211,7,2013
"MD 01-2012",-76.743088,39.58322,9,2012
"CA 37-2012",-117.02754,33.31723,11,2012
"LA 05-2012",-92.060158,31.0035,9,2012
"CO 23-2012",-106.01139,37.4151,7,2013
"AR 15-2012",-91.561127,34.93948,8,2012
"IN 22-2012",-86.225945,38.84332,5,2013
"AL 14-2013",-86.23316,32.38782,9,2013
"NJ 22-2012",-74.883217,39.20327,8,2012
"IL 19-2012",-87.864441,40.93555,4,2013
"SD 20-2011",-97.004837,43.50348,10,2011
"IL 15-2012",-87.836945,41.65527,10,2012
"WI 01-2013",-89.033257,42.51412,9,2013
"UT 19-2012",-112.65271,39.25731,6,2013
"NC 17-2012",-79.109467,36.20071,9,2012
"UT 20-2012",-112.59358,39.38223,6,2013
"IN 03-2013",-85.76806,40.75294,7,2013
"LA 02-2012",-91.716682,30.93342,7,2012
"SD 10-2012",-96.978279,43.16706,9,2012
"SC 17-2012",-80.330452,33.80849,4,2013
"TX 09-2013",-101.6746823,33.5403738,9,2013
"NJ 15-2013",-75.09689,39.72949,8,2013
"SD 06-2012",-99.960258,45.85789,9,2012
"TX 05-2013",-94.8919067,29.8503094,10,2013
"MA 21-2012",-71.321678,42.29604,7,2012
"SD 04-2012",-100.17085,43.49711,8,2012
"MA 22-2012",-72.739372,42.60579,10,2012
"OR 01-2013",-123.190216,44.224352,8,2013
"IN 07-2012",-85.87812,40.58182,8,2012
"GA 06-2012",-82.044113,32.19953,8,2012
"TN 04-2011",-84.050781,35.75923,9,2011
"IN 01-2013",-86.426526,39.865898,6,2013
"NY 17-2011",-98.182503,47.68636,8,2011
"SC 05-2012",-79.493172,34.45457,4,2013
"OK 14-2012",-95.2584,34.00114,4,2013
"PA 12-2012",-76.846809,40.09348,6,2013
"ND 13-2012",-100.36302,48.71565,7,2012
"SD 03-2012",-98.869118,43.3015,8,2012
"CA 39-2011",-122.08841,39.76563,2,2012
"MI 13-2013",-86.356659,42.097872,10,2013
"MI 05-2013",-82.67385,43.51673,10,2013
"OK 12-2012",-98.113197,35.5752,5,2013
"CA 36-2011",-122.13448,40.56873,2,2012
"AR 16-2012",-91.241493,35.60085,8,2012
"IN 08-2012",-86.387939,39.56603,8,2012
"PA 08-2012",-77.127357,41.55345,10,2012
"IL 12-2012",-89.946945,38.67166,10,2012
"WV 21-2013",-82.0991,38.93711,7,2013
"ND 17-2013",-101.29355,48.70441,8,2013
"CA 03-2013",-121.300258,38.600016,11,2013
"WV 04-2012",-78.628799,39.27647,9,2012
"CA 09-2011",-117.19633,33.18378,11,2011
"NY 02-2013",-76.662697,43.23426,7,2013
"AR 12-2013",-90.34586,36.10287,7,2013
"NE 24-2012",-97.995956,40.6058,6,2013
"NJ 04-2013",-74.82928,39.66193,8,2013
"LA 09-2012",-90.1707,30.42874,11,2012
"SD 01-2011",-100.03304,45.5254,8,2011
"ND 15-2012",-98.166763,48.43347,6,2012
"GA 20-2012",-82.527092,31.72109,8,2012
"NC 02-2012",-79.77755,35.23866,9,2012
"NJ 21-2012",-74.863518,39.49589,8,2012
"CA 18-2013",-122.050112,39.633418,4,2014
"ND 17-2012",-97.500076,97.50008,6,2012
"SD 21-2011",-97.36615,44.23492,10,2011
"NJ 19-2012",-74.217613,40.01583,9,2012
"TX 09-2011",-94.655472,29.9956,10,2011
"SC 07-2012",-81.873558,35.00366,7,2013
"NC 13-2012",-77.15152,34.48167,6,2013
"IL 16-2012",-90.223053,42.31722,5,2013
"FL 04-2011",-82.250031,27.98856,4,2012
"SD 02-2011",-100.01605,43.73505,8,2011
"NJ 02-2013",-75.24977,39.63154,8,2013
"GA 17-2012",-82.542168,32.04935,8,2012
"ND 07-2013",-102.67737,48.31374,8,2013
"NE 21-2012",-98.320747,40.8292,5,2013
"NE 16-2012",-96.841034,40.7459,6,2013
"CA 13-2013",-122.186447,39.724018,4,2014
"OR 13-2013",-121.631411,45.5784119,9,2013
"MD 14-2013",-76.26787,38.98214,5,2014
"UT 21-2012",-112.60658,39.3856,6,2013
"LA 08-2012",-89.983345,29.70025,10,2012
"NY 14-2011",-97.515404,47.9552,7,2011
"NE 07-2012",-98.336342,40.8957,5,2013
"OH 23-2012",-84.017899,39.9829,7,2013
"NE 05-2012",-98.282906,40.9885,5,2013
"NE 08-2012",-96.638924,40.6556,6,2013
"AR 22-2012",-91.245026,33.47475,9,2012
"ND 21-2012",-99.397797,48.3031,6,2012
"MD 17-2012",-76.717728,39.21899,5,2013
"NY 23-2012",-77.985519,43.0796,7,2012
"AR 14-2012",-94.334877,35.98923,8,2012
"WV 02-2013",-78.56105,39.33823,7,2013
"SC 10-2013",-82.18939,35.04678,5,2014
"CA 44-2012",-121.66222,39.18056,3,2013
"OR 09-2013",-123.5572191,44.640598,8,2013
"CA 40-2012",-117.19459,33.18385,11,2012
"TX 04-2011",-96.371101,33.19422,9,2011
"MD 15-2012",-76.634903,38.36908,4,2013
"ND 14-2012",-97.333557,47.93345,6,2012
"AR 18-2012",-91.183502,33.62194,9,2012
"NE 09-2012",-98.306839,40.91341,5,2013
"GA 18-2013",-83.81083,32.23385,9,2013
"TX 07-2012",-97.317284,31.14385,10,2012
