"sampleid","y","x","sunflower","month","year","nosema","mites","state","totalarea","average_mintemp","average_precip","month8","month9","colonysize","sf_2mile_percent","sf_2mile_acres"
"MI 18-2010",43.74179,-85.705276,0,8,2010,0,0.36264732,"MI",32464149.8828125,14,63,1,0,NA,0,0
"AL 24-2010",33.1548,-87.615059,0,9,2010,0,2.3856859,"AL",32450890.2578125,17,27,0,1,NA,0,0
"NY 05-2010",43.0337,-78.064903,0,8,2010,0,2.546917,"NY",32454783.4650879,17,112.55408,1,0,NA,0,0
"IN 25-2010",38.56681,-86.365707,0,9,2010,0,2.8368795,"IN",32463098.0751953,11.191696,11,0,1,NA,0,0
"IN 22-2010",39.5274,-85.913803,0,9,2010,0.016666668,3.7551022,"IN",32464323.4912109,12,13,0,1,NA,0,0
"PA 11-2010",40.31561,-76.893898,0,8,2010,0.15000001,7.7393074,"PA",32460309.9335938,18.356318,133.04836,1,0,NA,0,0
"AL 14-2010",30.78827,-88.11396,0,9,2010,0.1,9.96,"AL",32466099.5107422,23.625032,258.84042,0,1,NA,0,0
"MI 15-2010",43.63423,-82.736313,0,10,2010,0,0.076804914,"MI",32458457.2304688,10,112.77913,0,0,NA,0,0
"TN 16-2010",35.3711,-86.313164,0,9,2010,0.050000001,9.1276255,"TN",32461918.515625,20,114.4836,0,1,NA,0,0
"TN 22-2010",35.20495,-88.322159,16200,11,2010,0,9.4220114,"TN",32458217.4414062,6,39,0,0,NA,0.000499103194106218,4.00310364084747
"TN 19-2010",36.03215,-85.031013,0,8,2010,0,5.7873487,"TN",32461575.9228516,19,145.0105,1,0,NA,0,0
"MI 05-2010",43.75713,-85.518494,0,8,2010,0.033333331,0.66334993,"MI",32485270.140625,14,65,1,0,NA,0,0
"SD 15-2010",44.67052,-97.638931,0,10,2010,0.016666668,2.231405,"SD",32455139.265625,8.18326,138.64908,0,0,NA,0,0
"SD 13-2010",43.28682,-98.839539,1800,9,2010,0,0.81833059,"SD",32456295.34375,9,77.193321,0,1,NA,5.54591946165113e-05,0.444789293427497
"MI 09-2010",43.37463,-83.13485,0,9,2010,0,16.444132,"MI",32458656.3125,9,106.78101,0,1,NA,0,0
"SD 16-2010",44.9948,-97.131523,0,10,2010,0,4.9581008,"SD",32458626.6542969,8,131.61926,0,0,NA,0,0
"SD 18-2010",43.69135,-98.300323,1800,10,2010,0,1.4778326,"SD",32461239.265625,9.7965984,88.53714,0,0,NA,5.54507480528052e-05,0.444789293427497
"MI 08-2010",42.03024,-86.19429,0,10,2010,0,17.801418,"MI",32498913.5097656,11.998957,58.277267,0,0,NA,0,0
"TX 10-2010",30.16929,-96.319252,0,8,2010,0.016666668,5.858748,"TX",32457768.625,23,18.278816,1,0,NA,0,0
"SD 04-2010",45.53315,-100.18729,577857.625,8,2010,0,0.36068529,"SD",32461561.9335938,15,35.03199,1,0,NA,0.0178012883724485,142.791602625245
"SD 19-2010",43.7358,-97.074783,0,10,2010,0.06666667,0.71684587,"SD",32460162.8876953,8.3062248,148.89268,0,0,NA,0,0
"AL 01-2010",32.283233,-86.0895,0,8,2010,0.016666668,4.7511311,"AL",32463119.3779297,22,85,1,0,NA,0,0
"PA 21-2010",41.76845,-80.43129,0,9,2010,0,4.2068968,"PA",32454824.875,10,94.429367,0,1,NA,0,0
"TN 02-2010",36.02806,-84.303429,0,6,2010,0,5.4966888,"TN",32460708.3085938,19.962055,81,0,0,NA,0,0
"TX 18-2010",31.00134,-93.668709,0,10,2010,0.050000001,5.1303616,"TX",32459369.546875,20,62,0,0,NA,0,0
"SD 01-2010",44.48066,-101.81233,543198.6875,8,2010,0,8.4507046,"SD",32458471.734375,15,55.96664,1,0,NA,0.0167351898741655,134.227200224371
"TN 07-2010",35.80022,-83.933411,0,8,2010,0,2.0625,"TN",32458979.4101562,21,112.35956,1,0,NA,0,0
"PA 04-2010",40.48568,-76.899467,0,6,2010,0.27000001,3.6900001,"PA",32455939.625,10,98.212715,0,0,NA,0,0
"IN 19-2010",38.27037,-85.99968,0,9,2010,0.050000001,9.4642859,"IN",32458647.125,18,54.88615,0,1,NA,0,0
"MI 23-2010",42.19323,-85.108421,0,8,2010,0,1.1272142,"MI",32456614.9921875,16,41.731033,1,0,NA,0,0
"NY 08-2010",42.85345,-78.009903,0,9,2010,0,8.1470804,"NY",32462195.3203125,15,91.411118,0,1,NA,0,0
"AL 19-2010",33.96715,-87.232002,0,9,2010,0,0.13245033,"AL",32457746.0117188,15,26.213951,0,1,NA,0,0
"AL 16-2010",33.7634,-85.839081,0,10,2010,0,7.9256358,"AL",32458584.515625,16,35,0,0,NA,0,0
"IN 21-2010",39.99708,-86.909248,0,9,2010,0.016666668,3.821656,"IN",32461742.7890625,17,34.482079,0,1,NA,0,0
"SD 02-2010",43.92645,-101.14883,900,8,2010,0,10.069445,"SD",32462149.4240723,16,68.736259,1,0,NA,2.77245966754317e-05,0.222394646713748
"PA 19-2010",41.31698,-77.090157,0,9,2010,0.18333334,1.8284107,"PA",32464028.09375,10.316801,67.382515,0,1,NA,0,0
"PA 12-2010",40.61322,-76.20919,0,8,2010,0.050000001,5.273632,"PA",32458989.1601562,15.969244,63.598576,1,0,NA,0,0
"MI 20-2010",43.5952,-83.203873,0,10,2010,0,2.6315789,"MI",32459861.9794922,9,106,0,0,NA,0,0
"PA 14-2010",40.26798,-76.700958,0,9,2010,0.050000001,3.524229,"PA",32470046.5273438,18,61.859684,0,1,NA,0,0
"AL 25-2010",34.67778,-86.815971,4500,9,2010,0,3.4749036,"AL",32463217.421875,15,50,0,1,NA,0.000138618422860567,1.11197323356874
"TN 01-2010",36.15571,-85.245148,0,8,2010,0,8.5292139,"TN",32458490.9375,19.983328,133,1,0,NA,0,0
"SD 24-2010",44.46726,-103.72803,0,10,2010,0,0,"SD",32452944.2148438,3.1434021,66.117737,0,0,NA,0,0
"SD 21-2010",44.20658,-97.326103,0,10,2010,0,6.4191804,"SD",32459822.375,9,138,0,0,NA,0,0
"SD 12-2010",44.83216,-98.518593,11700,9,2010,0,24.121094,"SD",32461384.1928711,8,121.57406,0,1,NA,0.000360428253166403,2.89113040727873
"TX 14-2010",29.18991,-99.016968,5400,9,2010,0,0.91296411,"TX",32458355.9335938,21,176.00897,0,1,NA,0.000166367021516672,1.33436788028249
"MI 06-2010",42.02016,-86.15583,0,10,2010,0.02,6.3003664,"MI",32488691.3105469,11.55971,58.744473,0,0,NA,0,0
"MI 10-2010",42.06993,-86.225166,0,10,2010,0,0.96582466,"MI",32474784.4882812,6,41.675858,0,0,NA,0,0
"SD 05-2010",43.7568,-100.02617,1318368.125,8,2010,0,0.23328149,"SD",32459905.2851562,16,92.27356,1,0,NA,0.0406152794784304,325.775570442269
"MI 22-2010",42.94535,-84.106247,9000,10,2010,0.029999999,16.559999,"MI",32460198.1738281,10,95.344025,0,0,NA,0.000277262632587884,2.22394646713748
"SD 10-2010",42.90626,-96.711639,0,9,2010,0,0.22900763,"SD",32456524.2734375,9,137.83513,0,1,NA,0,0
"IN 18-2010",40.50356,-86.01136,0,9,2010,0,15.008726,"IN",32456991.8505859,17,80,0,1,NA,0,0
"SD 06-2010",44.34509,-98.38195,0,8,2010,0,0.59121621,"SD",32460701.1640625,17,53.694843,1,0,NA,0,0
"SD 07-2010",44.30902,-98.513641,0,8,2010,0,0.94696969,"SD",32457149.5209961,17,54.386429,1,0,NA,0,0
"PA 15-2010",40.20311,-77.328453,0,9,2010,0,4.8552756,"PA",32460876.0390625,17,82.480736,0,1,NA,0,0
"IN 02-2010",41.73347,-86.078491,0,6,2010,0,2.8985507,"IN",32455975.2246094,10,139.40367,0,0,NA,0,0
"SD 17-2010",45.3688,-98.49015,7200,10,2010,0.016666668,3.0007503,"SD",32460357.6601562,8,120,0,0,NA,0.000221809016258552,1.77915717370999
"SD 08-2010",44.81948,-99.455032,491779.875,8,2010,0.033333331,13.458111,"SD",32455527.8964844,15,27.461317,1,0,NA,0.0151524226186834,121.521346179507
"AL 22-2010",34.71331,-87.63813,3600,9,2010,0,2.9045644,"AL",32465610.3828125,21,74,0,1,NA,0.000110886564507836,0.889578586854994
"MI 01-2010",43.77293,-84.875313,0,9,2010,0,24.958677,"MI",32463714.6777344,8,88.39502,0,1,NA,0,0
"SD 05-2011",44.69499,-100.54326,1346400,9,2011,0,0.52356023,"SD",32527800,8,17,0,1,NA,0.0413922859830668,332.702391483768
"AL 23-2011",33.23344,-86.233391,0,10,2011,0,16.837782,"AL",32535900,6,19,0,0,NA,0,0
"AL 10-2011",31.0335,-85.266838,0,10,2011,0,3.4446764,"AL",32541300,10,43,0,0,NA,0,0
"NY 20-2011",47.26611,-99.323051,0,8,2011,0.30000001,1.2777404,"NY",32526000,14.286829,141.25378,1,0,NA,0,0
"CA 03-2011",36.21076,-119.34863,0,11,2011,0.40000001,0.73649752,"CA",32531400,11,16.601412,0,0,NA,0,0
"NY 18-2011",47.93416,-97.028336,0,8,2011,0.2,0.26143792,"NY",32525100,14.541,32.823147,1,0,NA,0,0
"CO 03-2011",38.57055,-104.64187,0,10,2011,0,12.281955,"CO",32537700,2,29,0,0,NA,0,0
"CO 06-2011",39.53131,-107.68156,0,10,2011,0,1.5901288,"CO",32531400,0,48.000004,0,0,NA,0,0
"IN 22-2011",42.15005,-95.226799,0,10,2011,0.050000001,9.2171717,"IN",32529600,6.6143312,75.617256,0,0,NA,0,0
"TX 05-2011",33.25141,-96.306541,0,9,2011,0,0.42739725,"TX",32535900,17,34,0,1,NA,0,0
"TN 01-2011",36.41223,-82.645378,0,9,2011,0.050000001,8.917222,"TN",32527800,17,60,0,1,NA,0,0
"TN 25-2011",36.17413,-85.660912,0,8,2011,0,13.224014,"TN",31623300,17.565704,26.514879,1,0,NA,0,0
"TX 07-2011",31.12797,-97.397255,0,10,2011,0,2.3202639,"TX",32540400,19,18.630198,0,0,NA,0,0
"CA 06-2011",33.469,-117.00424,0,11,2011,0.15000001,1.3536379,"CA",32536800,11.085243,20.772148,0,0,NA,0,0
"CO 12-2011",39.52642,-107.64054,0,10,2011,0,1.3289125,"CO",32530500,0,48.409595,0,0,NA,0,0
"IN 06-2011",42.77639,-91.129898,0,9,2011,0,37.155964,"IN",32526000,16,55.493301,0,1,NA,0,0
"WI 04-2011",39.42838,-78.602669,0,9,2011,0,0,"WI",32519700,15,45.984047,0,1,NA,0,0
"WI 06-2011",39.13816,-78.542877,0,9,2011,0.1,3.7810946,"WI",32539500,14,62.388908,0,1,NA,0,0
"WI 08-2011",39.90624,-80.730324,0,9,2011,0.1,4.2035398,"WI",32538600,8,92.496681,0,1,NA,0,0
"CO 11-2011",38.42244,-107.8726,0,10,2011,0,6.8129148,"CO",31591800,1.0139914,34.759762,0,0,NA,0,0
"TN 22-2011",36.62451,-86.03801,0,9,2011,0,8.757576,"TN",32324400,18,24.546923,0,1,NA,0,0
"TX 06-2011",31.1441,-97.317223,0,10,2011,0,3.2202601,"TX",32529600,19,17,0,0,NA,0,0
"CO 13-2011",38.22364,-104.39984,0,10,2011,0,24.522459,"CO",32537700,2,30.279127,0,0,NA,0,0
"CO 07-2011",39.35919,-103.08096,859500,9,2011,0.30000001,11.565455,"CO",32532300,8,21,0,1,NA,0.0264198965335989,212.38688761163
"TN 06-2011",35.07123,-84.421249,0,9,2011,0,2.9642556,"TN",32091300,12.949497,187.25761,0,1,NA,0,0
"ID 10-2011",38.13027,-89.48111,0,10,2011,0.1,2.5,"ID",32536800,-1,87.094589,0,0,NA,0,0
"CO 19-2011",38.57055,-104.64187,0,10,2011,0,8.3199148,"CO",32537700,2,29,0,0,NA,0,0
"WI 07-2011",39.32856,-80.175697,0,9,2011,0,2.6641295,"WI",32530500,8.8481159,103.20614,0,1,NA,0,0
"AL 13-2011",34.6001,-85.600258,0,9,2011,0.1,1.2962962,"AL",32526000,13.413868,282,0,1,NA,0,0
"TN 16-2011",36.14506,-85.605881,0,9,2011,0,6.6463075,"TN",32525100,17,25.057835,0,1,NA,0,0
"NY 10-2011",46.7934,-100.28619,0,7,2011,2.55,0,"NY",32531400,16.287134,40.419621,0,0,NA,0,0
"IN 04-2011",42.7619,-91.365067,0,8,2011,0.5,7.9027357,"IN",32523300,15.516527,82.384125,1,0,NA,0,0
"WI 02-2011",39.30229,-77.949829,0,9,2011,0.2,8.5015936,"WI",32538600,14,53.999668,0,1,NA,0,0
"TN 19-2011",36.09135,-85.231018,0,8,2011,0,1.6939783,"TN",32534100,17,26,1,0,NA,0,0
"IN 15-2011",41.77545,-92.798218,0,10,2011,0,1.4084507,"IN",32530500,12,128.98158,0,0,NA,0,0
"TX 03-2011",32.96678,-96.383438,0,9,2011,0,3.3178773,"TX",32336100,17,39.33646,0,1,NA,0,0
"AL 25-2011",32.46722,-86.152222,0,9,2011,0,2.8046422,"AL",32531400,21,45.369228,0,1,NA,0,0
"IN 14-2011",41.83121,-94.126663,0,10,2011,0.75,0,"IN",32522400,10.867897,142.65363,0,0,NA,0,0
"AL 04-2011",32.51694,-86.625267,0,9,2011,0.40000001,3.7411528,"AL",32535000,16.990314,111.59895,0,1,NA,0,0
"NY 12-2011",46.71333,-101.54951,54900,7,2011,0.44999999,3.6363637,"NY",32543100,13.507357,70.391083,0,0,NA,0.00168699355623773,13.5660734495387
"NY 15-2011",47.84056,-97.347397,0,8,2011,0,5.4197664,"NY",30114000,16.461166,29.217119,1,0,NA,0,0
"TX 08-2011",30.29323,-96.03125,0,10,2011,0,2.5038867,"TX",32529600,12,49.551846,0,0,NA,0,0
"TN 09-2011",35.34575,-89.623466,0,10,2011,0,5.5313377,"TN",32526000,15,94.544914,0,0,NA,0,0
"CA 07-2011",33.51001,-117.06267,0,11,2011,0.1,2.9694324,"CA",32533200,11,18.810259,0,0,NA,0,0
"SD 04-2011",45.4099,-97.169991,38700,9,2011,0,10.662604,"SD",32529600,14.721189,43.614292,0,1,NA,0.00118968570163789,9.56296980869118
"IN 03-2011",42.08352,-93.214912,0,8,2011,0,2.2026432,"IN",32530500,19.149057,32.973671,1,0,NA,0,0
"ID 05-2011",42.45719,-87.954453,0,10,2011,0.050000001,1.0270776,"ID",32523300,0.20842743,37.795513,0,0,NA,0,0
"AL 18-2011",33.35,-88.233452,0,11,2011,0,15.503876,"AL",32534100,7,19,0,0,NA,0,0
"IN 08-2011",43.45822,-92.128418,0,9,2011,0,17.89925,"IN",32546700,11.77462,140.52191,0,1,NA,0,0
"CO 04-2011",38.45101,-107.90951,0,10,2011,0,5.2681565,"CO",32535000,1.7217894,34,0,0,NA,0,0
"NY 16-2011",47.7369,-98.8675,0,8,2011,0,6.4573989,"NY",32529600,15.754295,25.530745,1,0,NA,0,0
"IN 19-2011",42.15957,-93.974838,0,10,2011,0.30000001,3.75,"IN",32544900,11,132,0,0,NA,0,0
"CO 08-2011",39.31251,-103.08134,0,9,2011,0,5.6649485,"CO",28098000,8,19.315987,0,1,NA,0,0
"TN 11-2011",35.40211,-89.608704,0,10,2011,2.1500001,2.4768178,"TN",32521500,14.970692,97.000008,0,0,NA,0,0
"SD 03-2011",42.94266,-96.780922,0,8,2011,0.050000001,1.6728624,"SD",32535900,15,70.135834,1,0,NA,0,0
"ID 21-2011",40.15527,-91.098335,0,9,2011,0,2.5335321,"ID",32522400,9,4,0,1,NA,0,0
"ID 23-2011",41.31861,-89.164444,0,9,2011,0.050000001,12.732096,"ID",32548500,5.0214558,35.783161,0,1,NA,0,0
"TX 01-2011",30.58177,-96.240288,0,7,2011,0,7.8235292,"TX",32522400,24,9.4919138,0,0,NA,0,0
"WI 10-2011",39.19693,-79.855904,0,9,2011,0,1.7730496,"WI",32536800,9,87,0,1,NA,0,0
"SD 13-2011",44.93888,-97.835297,1800,10,2011,0.1,0.071736008,"SD",32537700,7.5612688,16,0,0,NA,5.53204436699582e-05,0.444789293427497
"SD 06-2011",44.62224,-98.468323,3600,9,2011,0.25,0.52750564,"SD",32544000,7,18.523771,0,1,NA,0.000110619469026549,0.889578586854994
"IN 09-2011",40.63288,-94.707603,0,9,2011,0.34999999,0.85653102,"IN",27713700,11.82563,140.55063,0,1,NA,0,0
"SD 20-2011",43.50348,-97.004837,0,10,2011,0,0.34512511,"SD",32530500,4,19.568623,0,0,NA,0,0
"TN 04-2011",35.75923,-84.050781,0,9,2011,0.1,11.894679,"TN",32525100,15,212.33354,0,1,NA,0,0
"NY 17-2011",47.68636,-98.182503,0,8,2011,0.44999999,1.8563358,"NY",32519700,17,46.419563,1,0,NA,0,0
"CA 09-2011",33.18378,-117.19633,0,11,2011,0.050000001,0.089365505,"CA",32541300,12.758982,14,0,0,NA,0,0
"SD 01-2011",45.5254,-100.03304,1378800,8,2011,0.25,0,"SD",32535900,14,90.316788,1,0,NA,0.0423778042101187,340.708598765463
"SD 21-2011",44.23492,-97.36615,0,10,2011,0.2,5.4313097,"SD",32542200,3,21.303244,0,0,NA,0,0
"TX 09-2011",29.9956,-94.655472,0,10,2011,0,0.12769231,"TX",32520600,12.989836,67,0,0,NA,0,0
"SD 02-2011",43.73505,-100.01605,100800,8,2011,0.1,0,"SD",32540400,15.620405,81.567635,1,0,NA,0.00309768779732271,24.9082004319398
"NY 14-2011",47.9552,-97.515404,0,7,2011,0,0.23696682,"NY",32538600,16.518364,28.014297,0,0,NA,0,0
"TX 04-2011",33.19422,-96.371101,4500,9,2011,0,1.0199004,"TX",32539500,17,34.536804,0,1,NA,0.000138293458719403,1.11197323356874
"NY 11-2011",48.07753,-100.92752,0,7,2011,1.3,2.0033388,"NY",32195700,14,62.398056,0,0,NA,0,0
"TX 10-2011",30.12449,-94.766579,0,10,2011,1.85,4.4662576,"TX",32527800,12.524242,68.593117,0,0,NA,0,0
"WI 05-2011",39.32926,-78.925568,0,9,2011,0.15000001,0,"WI",32537700,14.258522,49,0,1,NA,0,0
"NY 13-2011",48.54391,-98.32415,0,7,2011,2.8,5.9859157,"NY",29182590,17,40.708084,0,0,NA,0,0
"CA 01-2011",33.36161,-117.19898,0,11,2011,0.050000001,6.6246057,"CA",32535900,12.247206,56,0,0,NA,0,0
"CO 09-2011",38.66435,-108.09741,0,10,2011,0,5.4849663,"CO",32543100,1.1243248,25.423746,0,0,NA,0,0
"TX 02-2011",32.96678,-96.383438,0,9,2011,0.050000001,2.5400214,"TX",32538600,17,39.33646,0,1,NA,0,0
"WI 16-2011",38.35107,-80.793823,900,9,2011,0.25,10.493827,"WI",32454813.03125,9,84,0,1,NA,2.77308638054211e-05,0.222394646713748
"IN 21-2011",41.54088,-93.587959,0,10,2011,0.75,1.71278,"IN",32453210.5351562,11,128.63396,0,0,NA,0,0
"MI 13-2011",43.0474,-83.878036,3600,10,2011,0.5,16.885389,"MI",32454026.921875,10,66,0,0,NA,0.000110926142036737,0.889578586854994
"AR 11-2011",35.71911,-92.342987,0,5,2011,0.15000001,3.5128806,"AR",32460480.4375,12,273.66791,0,0,NA,0,0
